input_text	target_text
▁pima honki	▁pima honki
▁wean ▁kehe ke	▁wean ▁kehe ke
▁yamé ▁chachi ke	▁yamé ▁chachi ke
▁yamé ▁kehe ke	▁yamé ▁kehe ke
▁hon e hon	▁hon e hon
▁kehe hon	▁kehe hon
▁atsa ▁aya ▁aka ▁atsa ▁aya	▁atsa ▁aya ▁aka ▁atsa ▁aya
▁atapa ▁aka ▁atapa	▁atapa ▁aka ▁atapa
▁hobo ▁aka ▁hobo	▁hobo ▁aka ▁hobo
▁g o ber na do r ▁a k hon ▁ainhon ▁senpa	▁g o ber na do r ▁a k hon ▁ainhon ▁senpa
▁hobo ▁a k hon ▁ainhon ▁pon a	▁hobo ▁a k hon ▁ainhon ▁pon a
▁hobo ▁ahon ▁ainhon ▁senpa	▁hobo ▁ahon ▁ainhon ▁senpa
▁senpa ▁o take ▁senpa	▁senpa ▁o take ▁senpa
▁senpa ▁o take ▁senpa	▁senpa ▁o take ▁senpa
▁senpa ▁o ta honki	▁senpa ▁o ta honki
▁yamé ▁hoho ke	▁yamé ▁hoho ke
▁yamé ▁so tanke	▁yamé ▁so tanke
▁so tanke ▁moa ▁moxa ▁a k n ohon ▁menko ▁menko ▁moxa ▁a k n ohon	▁so tanke ▁moa ▁moxa ▁a k n ohon ▁menko ▁menko ▁moxa ▁a k n ohon
▁so tanke ▁moa ▁pia ▁a k n ohon ▁s an ▁mi gu el ▁s an ▁mi gu el ▁pia ▁a k n ohon	▁so tanke ▁moa ▁pia ▁a k n ohon ▁s an ▁mi gu el ▁s an ▁mi gu el ▁pia ▁a k n ohon
▁so tanke ▁moa ▁pia ▁anohon ▁menko ▁menko ▁pia ▁anohon	▁so tanke ▁moa ▁pia ▁anohon ▁menko ▁menko ▁pia ▁anohon
▁ain ▁senpa ▁rabé ▁narabe ▁narabe ▁o tahon	▁ain ▁senpa ▁rabé ▁narabe ▁narabe ▁o tahon
▁ain ▁senpa ▁rabé ▁rabé ▁rabé ▁o tahon	▁ain ▁senpa ▁rabé ▁rabé ▁rabé ▁o tahon
▁ain ▁senpa ▁rabe ▁narabe ▁narabe ▁o tahon	▁ain ▁senpa ▁rabe ▁narabe ▁narabe ▁o tahon
▁ainhon ▁so tana ▁senpa ▁chi ▁penaha hon ▁ke teke ▁ke tea ▁senpa	▁ainhon ▁so tana ▁senpa ▁chi ▁penaha hon ▁ke teke ▁ke tea ▁senpa
▁ainhon ▁so tana ▁senpa ▁chi ▁bihon ▁choka ke ▁choka a ▁senpa	▁ainhon ▁so tana ▁senpa ▁chi ▁bihon ▁choka ke ▁choka a ▁senpa
▁ainhon ▁so tana ▁senpa ▁chi ▁bihon ▁pake t ke ▁pake ta ▁senpa	▁ainhon ▁so tana ▁senpa ▁chi ▁bihon ▁pake t ke ▁pake ta ▁senpa
▁ainhon ▁so tana ▁senpa ▁chi ▁bi h no ▁ke teke ▁ke tea ▁senpa	▁ainhon ▁so tana ▁senpa ▁chi ▁bi h no ▁ke teke ▁ke tea ▁senpa
▁sen p oa ki ▁oa ▁menko ▁oa ▁i k ti o an	▁sen p oa ki ▁oa ▁menko ▁oa ▁i k ti o an
▁senpa ki ▁a ▁menko ▁oa ▁itian	▁senpa ki ▁a ▁menko ▁oa ▁itian
▁tokora ▁tokora ▁tokora ▁tokora	▁tokora ▁tokora ▁tokora ▁tokora
▁ke tere ▁ke tere ▁ke tere ▁ke tere	▁ke tere ▁ke tere ▁ke tere ▁ke tere
▁ee ▁ee ▁ee ▁ee	▁ee ▁ee ▁ee ▁ee
▁hatian ▁aska ke ▁toshba aki ▁menko	▁hatian ▁aska ke ▁toshba aki ▁menko
▁hatian ▁aska ke ▁oinaki ▁wean	▁hatian ▁aska ke ▁oinaki ▁wean
▁hatian ▁aska ke ▁oinaki ▁me k no	▁hatian ▁aska ke ▁oinaki ▁me k no
▁ibi ▁pii	▁ibi ▁pii
▁atsa ▁pi	▁atsa ▁pi
▁moha ▁bia ▁moha ▁pia ▁bihon	▁moha ▁bia ▁moha ▁pia ▁bihon
▁tenkoti ▁oa ▁tenkoti ▁pia ▁ohon	▁tenkoti ▁oa ▁tenkoti ▁pia ▁ohon
▁tenkoti ▁bia ▁tenkoti ▁pia ▁bihon	▁tenkoti ▁bia ▁tenkoti ▁pia ▁bihon
▁tsa kai ▁tsaka ke	▁tsa kai ▁tsaka ke
▁choron ke ▁choron ▁choron	▁choron ke ▁choron ▁choron
▁piko hon ▁o roke ▁o roke ▁yamasa ▁yamasa	▁piko hon ▁o roke ▁o roke ▁yamasa ▁yamasa
▁piko hon ▁ben ake ▁ben ake ▁yamasa ▁yamasa	▁piko hon ▁ben ake ▁ben ake ▁yamasa ▁yamasa
▁ya ▁wake t ke ▁oha ke	▁ya ▁wake t ke ▁oha ke
▁ya ▁ka e k ▁oha e k	▁ya ▁ka e k ▁oha e k
▁pehnebei tian ▁oribake	▁pehnebei tian ▁oribake
▁ha ▁menko ▁ben hai ▁ha ▁t sha k ha w han ha ▁menko ▁ben hai	▁ha ▁menko ▁ben hai ▁ha ▁t sha k ha w han ha ▁menko ▁ben hai
▁a ▁menko ▁a he i ▁a ▁tsaka wan a ▁menko ▁a he i	▁a ▁menko ▁a he i ▁a ▁tsaka wan a ▁menko ▁a he i
▁ha ▁menko ▁ben hai ▁ha ▁t sha k ha w han ha ▁menko ▁ben hai	▁ha ▁menko ▁ben hai ▁ha ▁t sha k ha w han ha ▁menko ▁ben hai
▁a ▁menko ▁p oai ▁a ▁tsaka wan a ▁menko ▁p oai	▁a ▁menko ▁p oai ▁a ▁tsaka wan a ▁menko ▁p oai
▁a ▁menko ▁benai ▁a ▁tsaka wan a ▁menko ▁benai	▁a ▁menko ▁benai ▁a ▁tsaka wan a ▁menko ▁benai
▁yoya ke ▁yoya h yo yan ki ▁benai ▁benai	▁yoya ke ▁yoya h yo yan ki ▁benai ▁benai
▁oke ▁ohonki ▁ban ei ▁ban ei	▁oke ▁ohonki ▁ban ei ▁ban ei
▁oke ▁ohonki ▁benai ▁benai	▁oke ▁ohonki ▁benai ▁benai
▁m yama ▁yamasa ▁yama ketian	▁m yama ▁yamasa ▁yama ketian
▁ainki ▁penaha ▁po ho ▁ani osi ▁penaha ▁po ho	▁ainki ▁penaha ▁po ho ▁ani osi ▁penaha ▁po ho
▁ainki ▁ibi ▁nati ▁ani osi ▁ibi ▁nati	▁ainki ▁ibi ▁nati ▁ani osi ▁ibi ▁nati
▁ainki ▁ibi ▁po ho ▁oshin osi ▁ibi ▁po ho	▁ainki ▁ibi ▁po ho ▁oshin osi ▁ibi ▁po ho
▁ainki ▁mewe s ▁po ho ▁ani osi ▁mewe s ▁po ho	▁ainki ▁mewe s ▁po ho ▁ani osi ▁mewe s ▁po ho
▁ainki ▁ibi ▁po ho ▁ani osi ▁ibi ▁po h z o	▁ainki ▁ibi ▁po ho ▁ani osi ▁ibi ▁po h z o
▁ain ▁miraka mea ki ▁ k mi raka me ▁ k mi raka me ▁eh ▁ k mi raka me ▁ k mi raka me	▁ain ▁miraka mea ki ▁ k mi raka me ▁ k mi raka me ▁eh ▁ k mi raka me ▁ k mi raka me
▁ain ▁oinaki ▁pero ▁pero ▁eh ▁pero ▁pero	▁ain ▁oinaki ▁pero ▁pero ▁eh ▁pero ▁pero
▁ain ▁oinaki ▁mai ti ▁mai ti ▁eh ▁mai ti ▁mai ti	▁ain ▁oinaki ▁mai ti ▁mai ti ▁eh ▁mai ti ▁mai ti
▁ain ▁oinaki ▁kini ▁kini ▁eh ▁kini ▁kini	▁ain ▁oinaki ▁kini ▁kini ▁eh ▁kini ▁kini
▁ain ▁oinaki ▁koin ▁koin ▁eh ▁koin ▁koin	▁ain ▁oinaki ▁koin ▁koin ▁eh ▁koin ▁koin
▁koin ▁on koi ▁on ki o ▁kahon ▁oinaki	▁koin ▁on koi ▁on ki o ▁kahon ▁oinaki
▁chan iki ▁hain ▁chan in ▁kai bira ▁menko ▁boa	▁chan iki ▁hain ▁chan in ▁kai bira ▁menko ▁boa
▁yoshin ki ▁hain ▁yoshin n ▁kai bira ▁kini ▁boa	▁yoshin ki ▁hain ▁yoshin n ▁kai bira ▁kini ▁boa
▁yoshin ki ▁hain ▁yoshinma ▁kai bira k ▁menko ▁bo ya	▁yoshin ki ▁hain ▁yoshinma ▁kai bira k ▁menko ▁bo ya
▁kawan honki ▁a ▁menko ▁yoa ▁aki	▁kawan honki ▁a ▁menko ▁yoa ▁aki
▁bohonki ▁a ▁menko ▁yoa ▁aki	▁bohonki ▁a ▁menko ▁yoa ▁aki
▁mapo ▁pichan a ▁mapo ▁pichan a	▁mapo ▁pichan a ▁mapo ▁pichan a
▁nawan ▁bimi ▁pichan a ▁nawan ▁bimi ▁pichan a	▁nawan ▁bimi ▁pichan a ▁nawan ▁bimi ▁pichan a
▁menko ▁pichan ▁menko ▁pichan	▁menko ▁pichan ▁menko ▁pichan
▁pi cho an oa ▁i koa ▁iki ▁oa ▁yoshin ▁i koa ▁iki	▁pi cho an oa ▁i koa ▁iki ▁oa ▁yoshin ▁i koa ▁iki
▁pichan a ▁ika ▁iki ▁a ▁ran on ▁ika ▁iki	▁pichan a ▁ika ▁iki ▁a ▁ran on ▁ika ▁iki
▁pichan ▁ia k ▁iki ▁a ▁yoshin ▁ika ▁iki	▁pichan ▁ia k ▁iki ▁a ▁yoshin ▁ika ▁iki
▁pen ▁pen ▁iwa ri ▁pen ▁pen ▁iwa ri ▁pen ▁pen ▁iwa ri ▁pen ▁pen ▁iwa ri ▁ikai	▁pen ▁pen ▁iwa ri ▁pen ▁pen ▁iwa ri ▁pen ▁pen ▁iwa ri ▁pen ▁pen ▁iwa ri ▁ikai
▁pen ▁pen ▁kobiri ▁pen ▁pen ▁kobiri ▁p n ▁pen ▁kobiri ▁p ne ▁pen ▁kobiri ▁ikai	▁pen ▁pen ▁kobiri ▁pen ▁pen ▁kobiri ▁p n ▁pen ▁kobiri ▁p ne ▁pen ▁kobiri ▁ikai
▁ishton ▁ko b inon ▁ika	▁ishton ▁ko b inon ▁ika
▁haki ▁oni ▁oniki ▁h ha ▁y ha k ha ha ▁y ha k ha ha	▁haki ▁oni ▁oniki ▁h ha ▁y ha k ha ha ▁y ha k ha ha
▁aki ▁an kati ▁an ka tiki ▁ha ▁yaka a ▁yaka a	▁aki ▁an kati ▁an ka tiki ▁ha ▁yaka a ▁yaka a
▁aki ▁oni ▁oniki ▁ha ▁yaka a ▁yaka a	▁aki ▁oni ▁oniki ▁ha ▁yaka a ▁yaka a
▁aki ▁oni ▁oniki ▁ha ▁toa a ▁toa a	▁aki ▁oni ▁oniki ▁ha ▁toa a ▁toa a
▁aki ▁oni ▁oniki ▁ha ▁mawa a ▁mawa a	▁aki ▁oni ▁oniki ▁ha ▁mawa a ▁mawa a
▁aki ▁oni ▁oniki ▁ha ▁yaka	▁aki ▁oni ▁oniki ▁ha ▁yaka
▁ake ▁hahon	▁ake ▁hahon
▁ake ▁yoshima	▁ake ▁yoshima
▁aska ke ▁oni ▁ain	▁aska ke ▁oni ▁ain
▁nato ▁panshin ▁nawa ▁kenti kai ▁panshin ▁nawa ▁kenti ▁anin ▁ewa ▁ke sh tó ▁ke sh t ón ▁ewa	▁nato ▁panshin ▁nawa ▁kenti kai ▁panshin ▁nawa ▁kenti ▁anin ▁ewa ▁ke sh tó ▁ke sh t ón ▁ewa
▁nato ▁mapó ▁kenti kai ▁mapó ▁kenti ▁ben an ▁ewa ▁ke sh tó ▁ke sh t ón ▁ewa	▁nato ▁mapó ▁kenti kai ▁mapó ▁kenti ▁ben an ▁ewa ▁ke sh tó ▁ke sh t ón ▁ewa
▁nato ▁mapó ▁kenti kai ▁mapó ▁kenti ▁anin ▁ewa ▁bospi ▁bo s pin ▁ewa	▁nato ▁mapó ▁kenti kai ▁mapó ▁kenti ▁anin ▁ewa ▁bospi ▁bo s pin ▁ewa
▁n pa to ▁mapó ▁kenti kai ▁mapó ▁kenti ▁anin ▁ewa ▁s ke sh to	▁n pa to ▁mapó ▁kenti kai ▁mapó ▁kenti ▁anin ▁ewa ▁s ke sh to
▁a ▁aki ▁moa	▁a ▁aki ▁moa
▁ko bini ▁pichan ▁kobin ai tian ▁tan kana ▁wake t hon ▁kai	▁ko bini ▁pichan ▁kobin ai tian ▁tan kana ▁wake t hon ▁kai
▁ko bini ▁pichan ▁kobin ai tian ▁mapó ▁kain hon ▁kai	▁ko bini ▁pichan ▁kobin ai tian ▁mapó ▁kain hon ▁kai
▁ko bini ▁pi ca ▁koin ai tian ▁mapo s ▁wake hon ▁ka	▁ko bini ▁pi ca ▁koin ai tian ▁mapo s ▁wake hon ▁ka
▁tso	▁tso
▁tso	▁tso
▁na ▁kobin ai tinan	▁na ▁kobin ai tinan
▁a ▁kobin ai tian	▁a ▁kobin ai tian
▁westiora ▁c al i ente ka	▁westiora ▁c al i ente ka
▁westiora ▁michapa ka	▁westiora ▁michapa ka
▁on ko ronki ▁i k ni ke	▁on ko ronki ▁i k ni ke
▁michapa ronki ▁ini ke	▁michapa ronki ▁ini ke
▁tawa oma bobi	▁tawa oma bobi
▁wai oma bobi	▁wai oma bobi
▁haton ▁re h pí	▁haton ▁re h pí
▁haton ▁paranti	▁haton ▁paranti
▁yomets oi res	▁yomets oi res
▁hatian	▁hatian
▁hainoax ki	▁hainoax ki
▁haska t ▁iki	▁haska t ▁iki
▁ka ▁iki	▁ka ▁iki
▁h in an ▁h ina	▁h in an ▁h ina
▁nai ma ▁nain	▁nai ma ▁nain
▁n hain ▁me r hati ▁ha	▁n hain ▁me r hati ▁ha
▁nain ▁mera ti ▁a	▁nain ▁mera ti ▁a
▁paranti	▁paranti
▁te xon ▁nato	▁te xon ▁nato
▁yomets o xon ▁nato	▁yomets o xon ▁nato
▁legí ti m oa xon ai	▁legí ti m oa xon ai
▁ho shi a xon ai	▁ho shi a xon ai
▁paranta ▁i o in	▁paranta ▁i o in
▁ahí ▁está ▁ra oni	▁ahí ▁está ▁ra oni
▁ahí ▁está ▁ipo in	▁ahí ▁está ▁ipo in
▁ipo an ▁itian	▁ipo an ▁itian
▁haton ▁iboboan	▁haton ▁iboboan
▁pi ña	▁pi ña
▁paranta	▁paranta
▁ro t oai	▁ro t oai
▁tson ki ▁shipi ▁yometsoai	▁tson ki ▁shipi ▁yometsoai
▁tson ki ▁paranta ▁po tai	▁tson ki ▁paranta ▁po tai
▁to s n ki ▁paranta ▁yometsoai	▁to s n ki ▁paranta ▁yometsoai
▁ben en ▁yometsoai	▁ben en ▁yometsoai
▁micha pan ▁moi ai	▁micha pan ▁moi ai
▁micha pan in ▁yometsoai	▁micha pan in ▁yometsoai
▁nain ▁nain ▁ainbo	▁nain ▁nain ▁ainbo
▁on ko xonki	▁on ko xonki
▁hon e xonki	▁hon e xonki
▁hoshin ▁koko mano xon	▁hoshin ▁koko mano xon
▁i ▁iki ▁atian ▁michapa ▁onankanai	▁i ▁iki ▁atian ▁michapa ▁onankanai
▁onankanai	▁onankanai
▁nato ▁yometsoai tian	▁nato ▁yometsoai tian
▁ha ▁yometsoai tian	▁ha ▁yometsoai tian
▁paranta ▁yu kai	▁paranta ▁yu kai
▁pa s ran ta ▁yometsoai	▁pa s ran ta ▁yometsoai
▁chan ii	▁chan ii
▁chi tei	▁chi tei
▁noa bain kanai	▁noa bain kanai
▁pechibain kanai	▁pechibain kanai
▁hon in ba kanai ▁ibo bon	▁hon in ba kanai ▁ibo bon
▁peh c i ba kanai ▁ibo ban	▁peh c i ba kanai ▁ibo ban
▁pechibain xonki	▁pechibain xonki
▁inan kanai	▁inan kanai
▁oin kanai	▁oin kanai
▁c in c o	▁c in c o
▁westiora	▁westiora
▁pero ▁ani ▁pero	▁pero ▁ani ▁pero
▁i i w ▁ani ▁iwi	▁i i w ▁ani ▁iwi
▁katan ▁katan n ▁ewa ▁katan ▁katan is in oa	▁katan ▁katan n ▁ewa ▁katan ▁katan is in oa
▁ni ki ▁ni kin ▁ewa ▁ni ki ▁ni ki s in oa	▁ni ki ▁ni kin ▁ewa ▁ni ki ▁ni ki s in oa
▁micha ▁micha n ▁ewa ▁micha ▁micha is in oa	▁micha ▁micha n ▁ewa ▁micha ▁micha is in oa
▁boba ▁bo ban ▁ewa ▁bu o ba ▁bobai s in oa	▁boba ▁bo ban ▁ewa ▁bu o ba ▁bobai s in oa
▁hainronki ▁in ka ▁iki	▁hainronki ▁in ka ▁iki
▁ha ▁nain	▁ha ▁nain
▁ne li ta ▁awin	▁ne li ta ▁awin
▁nain ▁awin	▁nain ▁awin
▁hainronki ▁rab inai ▁micha pan ▁rab inai	▁hainronki ▁rab inai ▁micha pan ▁rab inai
▁ha u in ronki ▁keenai ▁micha pan in ▁keenai	▁ha u in ronki ▁keenai ▁micha pan in ▁keenai
▁hawen ▁je f a ▁awinki ▁keenai	▁hawen ▁je f a ▁awinki ▁keenai
▁hawen ▁nain ▁bake ki ▁keenai	▁hawen ▁nain ▁bake ki ▁keenai
▁hawen ▁nain ▁awinki ▁keenai	▁hawen ▁nain ▁awinki ▁keenai
▁rexo ▁bai w ▁a ro ki	▁rexo ▁bai w ▁a ro ki
▁rexo ▁bawi	▁rexo ▁bawi
▁rexo ▁bawi ▁con te sta	▁rexo ▁bawi ▁con te sta
▁shhhhh hhh	▁shhhhh hhh
▁ainoa x ▁rexo ▁bawi ▁ben oai	▁ainoa x ▁rexo ▁bawi ▁ben oai
▁ai en oa x ▁rexo ▁bawi ▁pake ati	▁ai en oa x ▁rexo ▁bawi ▁pake ati
▁meni tian ki ▁i bon	▁meni tian ki ▁i bon
▁pake tian ki ▁i bon	▁pake tian ki ▁i bon
▁awen ▁awen ▁he pon	▁awen ▁awen ▁he pon
▁awen ▁awen ▁mera tinin	▁awen ▁awen ▁mera tinin
▁inan a ▁on shi	▁inan a ▁on shi
▁menia ▁oshin	▁menia ▁oshin
▁ya	▁ya
▁aska ▁aska ta ▁iki	▁aska ▁aska ta ▁iki
▁rexo ▁bawi ▁retena kanai	▁rexo ▁bawi ▁retena kanai
▁ha ▁wai ▁wai ▁po ro k bon	▁ha ▁wai ▁wai ▁po ro k bon
▁ha ▁wai ▁wai ▁iboboan	▁ha ▁wai ▁wai ▁iboboan
▁ra i z ▁ibo bon	▁ra i z ▁ibo bon
▁paranti ▁mapo bon	▁paranti ▁mapo bon
▁pa rn ati ▁iboboan	▁pa rn ati ▁iboboan
▁ai k ni	▁ai k ni
▁hoshin ▁chan i tian ▁awen ▁chain	▁hoshin ▁chan i tian ▁awen ▁chain
▁hoshin ▁koko tian ▁awen ▁o hen	▁hoshin ▁koko tian ▁awen ▁o hen
▁hoshin ▁koko tian ▁awen ▁chain	▁hoshin ▁koko tian ▁awen ▁chain
▁awen ▁a ñ os n ki ▁pechibain ai	▁awen ▁a ñ os n ki ▁pechibain ai
▁awen ▁cha inki ▁pechibain ai	▁awen ▁cha inki ▁pechibain ai
▁shinan bain ▁kaxon ▁hatian	▁shinan bain ▁kaxon ▁hatian
▁pechibain ▁wisha xon ▁hatian	▁pechibain ▁wisha xon ▁hatian
▁pechibain ▁a xon ▁hatian	▁pechibain ▁a xon ▁hatian
▁piko xon ▁rete an anai	▁piko xon ▁rete an anai
▁kaxon ▁te chan anai	▁kaxon ▁te chan anai
▁kaxon ▁r ten anai	▁kaxon ▁r ten anai
▁yoyoi k xon	▁yoyoi k xon
▁ke ena xon	▁ke ena xon
▁aka ▁kai	▁aka ▁kai
▁shhhhh hhh ▁ikai	▁shhhhh hhh ▁ikai
▁hain ▁yaka t ketian ki	▁hain ▁yaka t ketian ki
▁hain ▁pake ketian ki	▁hain ▁pake ketian ki
▁ishto kanai ▁moa	▁ishto kanai ▁moa
▁mare kanai ▁moa	▁mare kanai ▁moa
▁toh	▁toh
▁marei ▁ma ▁toh	▁marei ▁ma ▁toh
▁ma ▁rexo ▁bawi ▁mahka ▁moa	▁ma ▁rexo ▁bawi ▁mahka ▁moa
▁mawa	▁mawa
▁hain ▁akiribi ▁chorish ▁kaxon ▁oina	▁hain ▁akiribi ▁chorish ▁kaxon ▁oina
▁hain ▁akiribi ▁michapa sh te xon ▁oina	▁hain ▁akiribi ▁michapa sh te xon ▁oina
▁hain ▁akiribi ▁michapa ▁kaxon ▁man oa	▁hain ▁akiribi ▁michapa ▁kaxon ▁man oa
▁hain ▁akiribi ▁michapa ▁kaxon ▁oina	▁hain ▁akiribi ▁michapa ▁kaxon ▁oina
▁ma ▁rexo ▁awi ▁yama ▁moa	▁ma ▁rexo ▁awi ▁yama ▁moa
▁ma ▁ma ▁taitai kan an	▁ma ▁ma ▁taitai kan an
▁ma ▁ma ▁rete kana	▁ma ▁ma ▁rete kana
▁ma ▁heriheri xon ▁hatian ▁hainoax ▁hohoai ▁moa	▁ma ▁heriheri xon ▁hatian ▁hainoax ▁hohoai ▁moa
▁ma ▁re e t xon ▁hatian ▁hainoax ▁hohoai ▁moa	▁ma ▁re e t xon ▁hatian ▁hainoax ▁hohoai ▁moa
▁me bi ▁koahontanwe ▁me bi ▁koahontanwe	▁me bi ▁koahontanwe ▁me bi ▁koahontanwe
▁tsawe ▁motsa hontanwe ▁tsawe ▁motsa hontanwe	▁tsawe ▁motsa hontanwe ▁tsawe ▁motsa hontanwe
▁tapun ▁koahontanwe ▁tapun ▁koahontanwe	▁tapun ▁koahontanwe ▁tapun ▁koahontanwe
▁tsawe ▁atsa hontanwe ▁tsawe ▁atsa hontanwe	▁tsawe ▁atsa hontanwe ▁tsawe ▁atsa hontanwe
▁tsawe ▁koahontanwe ▁tsawe ▁koahontanwe	▁tsawe ▁koahontanwe ▁tsawe ▁koahontanwe
▁xao ▁koahontanwe	▁xao ▁koahontanwe
▁tsa e w ▁koahontanwe	▁tsa e w ▁koahontanwe
▁tsawe ▁koahontanwe ▁awen ▁tawa ▁yoiki	▁tsawe ▁koahontanwe ▁awen ▁tawa ▁yoiki
▁tsawe ▁koahontanwe ▁awen ▁nane ▁yoiki	▁tsawe ▁koahontanwe ▁awen ▁nane ▁yoiki
▁awen ▁nane ki	▁awen ▁nane ki
▁awerano ▁ishto i ri ▁tsawe ▁koa hon tanpa	▁awerano ▁ishto i ri ▁tsawe ▁koa hon tanpa
▁awerano ▁kairi ▁yae ▁koa hon tanpa	▁awerano ▁kairi ▁yae ▁koa hon tanpa
▁awerano ▁kairi ▁tsawe ▁koa hon tanpa	▁awerano ▁kairi ▁tsawe ▁koa hon tanpa
▁oani ▁kehe i ri ▁tsawe	▁oani ▁kehe i ri ▁tsawe
▁oani ▁kairi ▁ara kan	▁oani ▁kairi ▁ara kan
▁oani ▁kairi ▁tsawe	▁oani ▁kairi ▁tsawe
▁wensan ▁koa hon tanpa	▁wensan ▁koa hon tanpa
▁tsawe ▁haska t hon tanpa	▁tsawe ▁haska t hon tanpa
▁tsawe ▁koa hon tanpa	▁tsawe ▁koa hon tanpa
▁rao ▁koahontanwe ▁rao ▁koahontanwe ▁rao ▁koahontanwe	▁rao ▁koahontanwe ▁rao ▁koahontanwe ▁rao ▁koahontanwe
▁tsawe ▁so tan hontanwe ▁tsawe ▁so tan hontanwe ▁tsawe ▁so tan hontanwe	▁tsawe ▁so tan hontanwe ▁tsawe ▁so tan hontanwe ▁tsawe ▁so tan hontanwe
▁tsawe ▁koahontanwe ▁tsawe ▁koahontanwe ▁tsawe ▁koahontanwe	▁tsawe ▁koahontanwe ▁tsawe ▁koahontanwe ▁tsawe ▁koahontanwe
▁awen ▁chan i ▁oin ▁oini	▁awen ▁chan i ▁oin ▁oini
▁awen ▁nane ▁iná ▁iná i	▁awen ▁nane ▁iná ▁iná i
▁awen ▁nane ▁oin ▁oini	▁awen ▁nane ▁oin ▁oini
▁misto xon ▁misto xon ▁oinaka ▁ma	▁misto xon ▁misto xon ▁oinaka ▁ma
▁ho xon ▁ho xon ▁ona ka ▁ma	▁ho xon ▁ho xon ▁ona ka ▁ma
▁bake ▁mawata ▁moa ▁rete kan an ▁hoshin ▁ibo bon	▁bake ▁mawata ▁moa ▁rete kan an ▁hoshin ▁ibo bon
▁nain ▁mawata ▁moa ▁pa yo kan an ▁hoshin ▁ibo bon	▁nain ▁mawata ▁moa ▁pa yo kan an ▁hoshin ▁ibo bon
▁nain ▁mawata ▁moa ▁rete kan an ▁o tro ▁ibo bon	▁nain ▁mawata ▁moa ▁rete kan an ▁o tro ▁ibo bon
▁nain ▁ma w ta a ▁mo ▁rete kana ▁hoshin ▁iboboan	▁nain ▁ma w ta a ▁mo ▁rete kana ▁hoshin ▁iboboan
▁te kasi ▁v í ve res ▁banai ▁atsa ▁banai ▁a ▁pinohon	▁te kasi ▁v í ve res ▁banai ▁atsa ▁banai ▁a ▁pinohon
▁te kasi ▁heki ▁banai ▁pau ji l ▁banai ▁a ▁pinohon	▁te kasi ▁heki ▁banai ▁pau ji l ▁banai ▁a ▁pinohon
▁te kasi ▁heki ▁banai ▁atsa ▁banai ▁a ▁pinohon	▁te kasi ▁heki ▁banai ▁atsa ▁banai ▁a ▁pinohon
▁t kasi ▁heki ▁banai ▁atsa ▁banai ▁a ▁pinohon	▁t kasi ▁heki ▁banai ▁atsa ▁banai ▁a ▁pinohon
▁mapo ▁akai	▁mapo ▁akai
▁wai ▁akai	▁wai ▁akai
▁kawa ▁iná ▁aka sai	▁kawa ▁iná ▁aka sai
▁atapa ▁wa y on ▁aka sai	▁atapa ▁wa y on ▁aka sai
▁atapa ▁iná ▁aka sai	▁atapa ▁iná ▁aka sai
▁kená ▁iná ▁aka sai ▁ea	▁kená ▁iná ▁aka sai ▁ea
▁kochi ▁mawa ▁aka sai ▁ea	▁kochi ▁mawa ▁aka sai ▁ea
▁ko c i h ▁iná ▁aka sai ▁ea	▁ko c i h ▁iná ▁aka sai ▁ea
▁atapa ▁iná ▁aki ka	▁atapa ▁iná ▁aki ka
▁pinohon	▁pinohon
▁ain ▁ahon ▁pinohon	▁ain ▁ahon ▁pinohon
▁wini kasai ▁ea ▁nokon ▁bene betan	▁wini kasai ▁ea ▁nokon ▁bene betan
▁te ka a si ▁ea ▁noko ▁bene betan	▁te ka a si ▁ea ▁noko ▁bene betan
▁imi ▁bana kasi ▁wai ▁akasi	▁imi ▁bana kasi ▁wai ▁akasi
▁atsa ▁bana kasi ▁pusi ▁akasi	▁atsa ▁bana kasi ▁pusi ▁akasi
▁atsa ▁bana kasi ▁wai ▁akasi	▁atsa ▁bana kasi ▁wai ▁akasi
▁ni ▁banai ▁heki ▁banai ▁paranta ▁banai	▁ni ▁banai ▁heki ▁banai ▁paranta ▁banai
▁atsa ▁banai ▁f le cha ▁banai ▁paranta ▁banai	▁atsa ▁banai ▁f le cha ▁banai ▁paranta ▁banai
▁atsa ▁banai ▁heki ▁banai ▁paranta ▁banai	▁atsa ▁banai ▁heki ▁banai ▁paranta ▁banai
▁atapa ▁kai ▁akai ▁kochi ▁kesa ▁aki	▁atapa ▁kai ▁akai ▁kochi ▁kesa ▁aki
▁atapa ▁kai ▁akai ▁kochi ▁iná ▁aki	▁atapa ▁kai ▁akai ▁kochi ▁iná ▁aki
▁qué ▁ha ▁si do ▁lo ▁que ▁ha s ▁con ta do	▁qué ▁ha ▁si do ▁lo ▁que ▁ha s ▁con ta do
▁chan cho	▁chan cho
▁gallina	▁gallina
▁así	▁así
▁tengo ▁gallina	▁tengo ▁gallina
▁yo ▁s é ▁a ▁m í ▁me ▁g u sta ▁cria r	▁yo ▁s é ▁a ▁m í ▁me ▁g u sta ▁cria r
▁ve inti c ua tro	▁ve inti c ua tro
▁v ec ino ▁mis mo ▁co e	▁v ec ino ▁mis mo ▁co e
▁c ri é ▁mis ▁anima l es	▁c ri é ▁mis ▁anima l es
▁yo ▁no ▁so y ▁hara g an da	▁yo ▁no ▁so y ▁hara g an da
	
▁ya	▁ya
